Name, Happiness Before, Start Time, Happiness After, Shots Taken, Shots Scored, End Time
Sophia, Happy, 2024-02-29 19:36, Happy, 145, 75, 2024-02-29 20:12
Brendan, Happy, 2024-03-04 17:34, OK, 129, 65, 2024-03-04 18:11
Mairead, Sad, 2024-03-03 03:00, Happy, 115, 90, 2024-03-03 03:39
Eimear, Sad, 2024-02-29 00:05, Happy, 161, 73, 2024-02-29 00:19
Jackson, Happy, 2024-02-28 19:44, OK, 170, 135, 2024-02-28 19:48
Landon, Sad, 2024-02-28 17:07, Sad, 29, 27, 2024-02-28 17:45
Tadhg, OK, 2024-02-27 00:55, OK, 4, 1, 2024-02-27 01:12
Zoe, OK, 2024-02-28 07:13, OK, 199, 197, 2024-02-28 07:47
Sean, Sad, 2024-03-02 04:31, OK, 9, 6, 2024-03-02 04:49
Siobhan, Sad, 2024-02-28 15:55, Happy, 112, 43, 2024-02-28 15:59
Niamh, Sad, 2024-03-01 18:06, Happy, 72, 17, 2024-03-01 18:18
David, OK, 2024-03-03 08:44, OK, 15, 14, 2024-03-03 09:18
Wyatt, OK, 2024-02-27 02:31, OK, 116, 35, 2024-02-27 02:36
Saoirse, Sad, 2024-02-27 14:26, OK, 128, 96, 2024-02-27 14:33
Padraig, Sad, 2024-03-02 13:30, Happy, 136, 65, 2024-03-02 13:52
Cian, Sad, 2024-02-28 08:41, OK, 22, 10, 2024-02-28 08:46
Layla, Sad, 2024-03-02 16:42, Happy, 102, 52, 2024-03-02 17:02
Aria, Sad, 2024-03-02 14:29, Happy, 94, 30, 2024-03-02 15:02
Nora, Happy, 2024-02-28 22:04, Happy, 50, 34, 2024-02-28 22:39
Tadhg, OK, 2024-02-27 20:58, OK, 116, 82, 2024-02-27 21:16
Cathal, Sad, 2024-02-28 11:56, Happy, 165, 59, 2024-02-28 12:03
Odhran, Sad, 2024-02-27 15:12, Happy, 116, 109, 2024-02-27 15:19
Blathnaid, OK, 2024-02-29 08:29, Happy, 10, 9, 2024-02-29 08:46
Fainche, Sad, 2024-02-27 03:40, OK, 127, 54, 2024-02-27 03:59
Olivia, OK, 2024-02-28 03:18, OK, 28, 23, 2024-02-28 03:22
Avery, Sad, 2024-02-29 12:34, Sad, 1, 1, 2024-02-29 13:14
Ruairi, Happy, 2024-02-27 21:46, Happy, 11, 11, 2024-02-27 22:25
Emily, Sad, 2024-02-27 17:07, Happy, 105, 70, 2024-02-27 17:11
Jackson, Sad, 2024-03-04 07:46, OK, 164, 69, 2024-03-04 08:15
Maeve, Sad, 2024-03-02 21:27, OK, 155, 58, 2024-03-02 21:33
Cathal, Sad, 2024-02-28 10:07, Happy, 105, 46, 2024-02-28 10:37
Lily, Sad, 2024-03-02 15:51, OK, 198, 116, 2024-03-02 16:25
Victoria, Sad, 2024-02-29 12:11, OK, 44, 39, 2024-02-29 12:40
Daniel, Sad, 2024-02-28 12:35, Happy, 181, 98, 2024-02-28 12:42
Aoibheann, Happy, 2024-02-27 18:58, Happy, 178, 67, 2024-02-27 19:31
Saoirse, OK, 2024-03-01 02:18, Happy, 4, 4, 2024-03-01 02:27
Colm, OK, 2024-02-27 02:40, Happy, 24, 13, 2024-02-27 02:54
Eli, Happy, 2024-03-02 17:53, Happy, 61, 19, 2024-03-02 18:29
Treasa, Sad, 2024-03-01 16:36, OK, 75, 75, 2024-03-01 16:53
Tomas, OK, 2024-02-28 18:30, Sad, 142, 105, 2024-02-28 18:41
Darragh, Happy, 2024-03-03 10:53, Sad, 116, 69, 2024-03-03 11:04
Orlaith, Sad, 2024-02-27 08:25, Happy, 133, 93, 2024-02-27 08:45
Lillian, OK, 2024-02-27 07:21, OK, 53, 38, 2024-02-27 07:32
Brigid, Sad, 2024-02-29 03:24, Happy, 33, 18, 2024-02-29 03:28
Daniel, Sad, 2024-02-28 00:57, Happy, 43, 14, 2024-02-28 01:27
Padraig, Sad, 2024-03-03 01:37, Sad, 110, 52, 2024-03-03 02:09
Lorcan, Sad, 2024-03-03 23:02, OK, 131, 87, 2024-03-03 23:14
Cormac, Sad, 2024-03-02 11:22, Happy, 98, 98, 2024-03-02 11:28
Cathal, Sad, 2024-02-27 05:12, Happy, 180, 107, 2024-02-27 05:50
Carter, OK, 2024-03-01 22:10, OK, 105, 75, 2024-03-01 22:51
Scarlett, OK, 2024-03-02 22:00, Happy, 116, 26, 2024-03-02 22:35
Orlaith, Sad, 2024-03-04 04:06, OK, 60, 32, 2024-03-04 04:44
Ciar, Happy, 2024-02-27 08:10, Happy, 80, 42, 2024-02-27 08:29
Siofra, Sad, 2024-02-29 12:24, OK, 89, 21, 2024-02-29 12:45
Elijah, Sad, 2024-02-27 04:59, Happy, 93, 31, 2024-02-27 05:02
Rory, OK, 2024-02-27 23:41, Happy, 160, 44, 2024-02-28 00:20
Sinead, Sad, 2024-02-27 23:41, Happy, 54, 50, 2024-02-28 00:11
Joseph, Sad, 2024-02-29 20:52, Happy, 178, 145, 2024-02-29 21:14
Niall, OK, 2024-02-27 13:35, Happy, 167, 105, 2024-02-27 13:46
Layla, Sad, 2024-03-02 20:35, OK, 141, 119, 2024-03-02 21:02
Cian, OK, 2024-03-03 05:12, OK, 120, 110, 2024-03-03 05:40
Landon, Sad, 2024-02-28 05:44, Happy, 72, 67, 2024-02-28 06:14
Sinead, OK, 2024-03-02 23:36, Happy, 66, 44, 2024-03-03 00:04
Colm, Happy, 2024-03-02 08:36, Happy, 19, 14, 2024-03-02 08:42
Cillian, Sad, 2024-02-29 07:19, OK, 146, 135, 2024-02-29 07:56
Eleanor, OK, 2024-02-29 20:01, OK, 130, 30, 2024-02-29 20:25
Aisling, Sad, 2024-02-29 03:02, Happy, 93, 47, 2024-02-29 03:39
Oliver, Sad, 2024-03-01 04:30, Happy, 195, 75, 2024-03-01 05:00
Daire, Sad, 2024-02-29 13:56, Happy, 130, 69, 2024-02-29 14:22
Darragh, Happy, 2024-02-28 21:38, OK, 173, 146, 2024-02-28 21:43
Grace, OK, 2024-03-01 21:30, OK, 165, 142, 2024-03-01 21:36
Siobhan, Sad, 2024-03-03 12:42, OK, 191, 113, 2024-03-03 13:18
Scarlett, Sad, 2024-02-27 14:19, OK, 60, 31, 2024-02-27 14:30
Ciaran, Sad, 2024-02-29 23:29, Happy, 127, 37, 2024-03-01 00:08
Fergus, OK, 2024-03-02 22:37, OK, 140, 73, 2024-03-02 22:59
Henry, OK, 2024-02-29 04:44, OK, 161, 84, 2024-02-29 05:23
Aoife, Happy, 2024-03-02 12:46, OK, 112, 77, 2024-03-02 13:11
Lorcan, OK, 2024-03-02 11:47, Happy, 6, 6, 2024-03-02 12:00
Harper, Sad, 2024-03-02 12:59, Happy, 190, 148, 2024-03-02 13:20
Cormac, Sad, 2024-02-29 11:37, Happy, 94, 78, 2024-02-29 12:03
Aisling, Sad, 2024-02-27 11:48, OK, 66, 29, 2024-02-27 11:55
Donal, Sad, 2024-03-01 09:16, OK, 37, 9, 2024-03-01 09:29
Brigid, Sad, 2024-03-03 12:12, Happy, 92, 67, 2024-03-03 12:31
Mason, Sad, 2024-03-04 02:24, Happy, 18, 5, 2024-03-04 03:01
Logan, OK, 2024-03-02 12:24, Happy, 17, 6, 2024-03-02 12:30
Orla, Sad, 2024-03-04 02:19, Sad, 175, 142, 2024-03-04 02:55
Roisin, Sad, 2024-03-04 06:53, Sad, 106, 24, 2024-03-04 07:29
Blathnaid, OK, 2024-02-28 12:04, Happy, 14, 13, 2024-02-28 12:29
Michael, OK, 2024-03-04 05:39, OK, 199, 104, 2024-03-04 06:19
Brigid, Happy, 2024-03-01 19:26, OK, 89, 85, 2024-03-01 19:43
Brigid, OK, 2024-03-03 09:03, Happy, 38, 18, 2024-03-03 09:39
Colm, Sad, 2024-03-03 18:42, Happy, 92, 54, 2024-03-03 19:01
Victoria, Happy, 2024-03-02 16:25, OK, 191, 90, 2024-03-02 16:51
Fergus, OK, 2024-03-02 01:43, OK, 48, 40, 2024-03-02 02:19
Sophia, Sad, 2024-03-02 16:58, Happy, 95, 52, 2024-03-02 17:14
Sean, OK, 2024-03-03 19:38, Happy, 177, 100, 2024-03-03 19:50
Dara, OK, 2024-03-01 15:48, Sad, 56, 17, 2024-03-01 16:08
Liam, Sad, 2024-03-01 14:27, OK, 108, 39, 2024-03-01 15:07
Lily, OK, 2024-02-28 10:56, OK, 132, 91, 2024-02-28 11:03
David, Sad, 2024-03-04 05:34, Happy, 182, 154, 2024-03-04 06:00
Darragh, Happy, 2024-03-02 01:57, Happy, 194, 148, 2024-03-02 02:30
Sean, Sad, 2024-03-02 23:18, Happy, 81, 28, 2024-03-02 23:39
Niall, Sad, 2024-03-03 00:20, OK, 86, 69, 2024-03-03 01:00
Lucas, OK, 2024-03-02 07:46, OK, 2, 2, 2024-03-02 08:03
Ronan, OK, 2024-02-27 04:09, Happy, 60, 49, 2024-02-27 04:47
Maura, Sad, 2024-02-26 21:13, Happy, 26, 13, 2024-02-26 21:37
Daniel, Sad, 2024-02-27 22:48, Happy, 63, 60, 2024-02-27 22:51
Sorcha, Sad, 2024-03-04 10:40, Happy, 130, 60, 2024-03-04 10:46
Sean, OK, 2024-03-01 15:16, Happy, 83, 46, 2024-03-01 15:38
Dara, Sad, 2024-03-03 07:31, OK, 181, 159, 2024-03-03 07:51
Hannah, Sad, 2024-03-02 10:37, OK, 181, 98, 2024-03-02 10:47
Clare, Sad, 2024-02-28 00:34, Happy, 105, 90, 2024-02-28 00:47
Evelyn, OK, 2024-03-02 07:03, Happy, 173, 39, 2024-03-02 07:10
Joseph, Happy, 2024-02-29 19:46, Sad, 193, 184, 2024-02-29 20:00
Lucas, OK, 2024-03-04 09:09, Happy, 184, 107, 2024-03-04 09:24
Riona, OK, 2024-02-28 23:51, Happy, 120, 77, 2024-02-29 00:13
Eimear, Happy, 2024-03-02 03:58, Sad, 42, 9, 2024-03-02 04:35
Brendan, Sad, 2024-03-01 07:12, OK, 9, 6, 2024-03-01 07:19
Maeve, Happy, 2024-03-02 20:19, OK, 119, 61, 2024-03-02 20:56
Ciar, Sad, 2024-03-03 04:59, OK, 75, 16, 2024-03-03 05:32
Caleb, Sad, 2024-02-27 13:02, OK, 77, 34, 2024-02-27 13:39
