Name, Happiness Before, Start Time, Happiness After, Shots Taken, Shots Scored, End Time
Grace, Sad, 2024-02-27 19:33, OK, 10, 2, 2024-02-27 19:55
Lorcan, Sad, 2024-02-26 15:49, Happy, 2, 0, 2024-02-26 16:25
Emily, Sad, 2024-03-01 08:02, Happy, 7, 3, 2024-03-01 08:13
Noah, Sad, 2024-02-28 04:43, Happy, 3, 2, 2024-02-28 04:59
Daniel, OK, 2024-02-26 08:31, Happy, 5, 2, 2024-02-26 09:09
Cormac, OK, 2024-03-03 14:13, Happy, 5, 1, 2024-03-03 14:46
Aisling, Happy, 2024-03-02 09:41, OK, 5, 4, 2024-03-02 10:11
Evelyn, Sad, 2024-03-03 16:54, Sad, 6, 4, 2024-03-03 17:07
Riona, Happy, 2024-02-27 18:21, OK, 5, 4, 2024-02-27 19:01
Harper, Sad, 2024-02-28 12:05, Happy, 10, 7, 2024-02-28 12:44
Ava, OK, 2024-03-02 10:28, Happy, 5, 4, 2024-03-02 10:37
Elijah, Happy, 2024-03-02 22:23, Happy, 9, 2, 2024-03-02 22:46
Scarlett, Sad, 2024-02-27 03:00, Happy, 1, 0, 2024-02-27 03:31
Harper, Sad, 2024-03-01 14:26, Happy, 6, 6, 2024-03-01 15:07
Fiona, Sad, 2024-02-28 20:46, Happy, 9, 2, 2024-02-28 21:16
Siobhan, Happy, 2024-02-27 06:51, Happy, 10, 2, 2024-02-27 07:22
Roisin, Sad, 2024-03-01 20:30, OK, 2, 0, 2024-03-01 21:05
Ronan, Happy, 2024-02-29 04:07, OK, 8, 6, 2024-02-29 04:38
Blathnaid, Happy, 2024-03-03 07:57, Sad, 9, 2, 2024-03-03 08:37
Rory, Happy, 2024-03-02 19:32, Happy, 2, 2, 2024-03-02 19:49
Ruairi, Sad, 2024-03-02 03:52, OK, 8, 7, 2024-03-02 04:13
David, OK, 2024-02-27 01:31, OK, 7, 3, 2024-02-27 01:41
Charlotte, OK, 2024-03-01 04:28, Sad, 2, 2, 2024-03-01 05:07
Matthew, Sad, 2024-03-01 16:20, Sad, 10, 6, 2024-03-01 16:30
Samuel, OK, 2024-02-29 19:59, OK, 6, 4, 2024-02-29 20:11
Wyatt, Happy, 2024-03-03 08:52, Happy, 4, 0, 2024-03-03 08:57
Fainche, Sad, 2024-02-29 23:18, OK, 3, 3, 2024-02-29 23:40
Diarmuid, OK, 2024-02-27 19:08, Sad, 7, 3, 2024-02-27 19:34
Aoife, Sad, 2024-03-02 18:31, Sad, 9, 5, 2024-03-02 19:11
Zoe, Sad, 2024-03-01 18:15, OK, 9, 5, 2024-03-01 18:45
Michael, Happy, 2024-02-26 10:32, Happy, 10, 3, 2024-02-26 10:52
Orlaith, OK, 2024-03-01 05:20, OK, 4, 3, 2024-03-01 05:35
Alexander, OK, 2024-03-03 12:41, Happy, 2, 0, 2024-03-03 12:47
Samuel, OK, 2024-02-27 01:40, Sad, 3, 3, 2024-02-27 02:10
Matthew, Happy, 2024-03-02 05:38, Sad, 7, 2, 2024-03-02 05:50
Fainche, OK, 2024-02-26 11:41, Happy, 6, 4, 2024-02-26 11:49
Ethan, Happy, 2024-02-29 09:28, Happy, 8, 4, 2024-02-29 09:58
Mila, OK, 2024-03-03 12:38, OK, 7, 1, 2024-03-03 13:07
Olivia, Sad, 2024-02-28 11:04, Happy, 6, 6, 2024-02-28 11:25
Oisin, OK, 2024-02-26 23:53, Happy, 3, 0, 2024-02-27 00:21
Cillian, OK, 2024-02-26 06:46, Happy, 4, 0, 2024-02-26 07:19
Elijah, Happy, 2024-02-28 02:03, Happy, 10, 5, 2024-02-28 02:40
Treasa, OK, 2024-02-26 12:24, OK, 3, 0, 2024-02-26 12:43
Aine, Sad, 2024-03-02 19:06, Sad, 10, 4, 2024-03-02 19:33
Riona, OK, 2024-02-26 05:07, Happy, 5, 2, 2024-02-26 05:12
Mairin, Sad, 2024-02-27 01:26, OK, 7, 6, 2024-02-27 01:37
Ciara, OK, 2024-02-29 07:39, Happy, 6, 1, 2024-02-29 08:04
Rory, Sad, 2024-02-26 00:12, OK, 10, 8, 2024-02-26 00:40
Clodagh, OK, 2024-02-27 03:35, OK, 6, 6, 2024-02-27 03:58
Hannah, OK, 2024-03-02 23:41, Happy, 4, 1, 2024-03-02 23:57
Olivia, OK, 2024-03-02 10:18, Happy, 10, 7, 2024-03-02 10:22
Liam, Sad, 2024-02-29 20:37, Happy, 9, 9, 2024-02-29 20:41
Mason, OK, 2024-02-26 15:20, Happy, 1, 1, 2024-02-26 15:39
Fiona, OK, 2024-02-27 05:53, Happy, 8, 1, 2024-02-27 06:32
Scarlett, Sad, 2024-03-01 10:36, Happy, 7, 0, 2024-03-01 11:02
Brendan, Sad, 2024-02-26 02:48, Happy, 6, 6, 2024-02-26 02:57
Olivia, OK, 2024-03-01 14:00, Sad, 1, 0, 2024-03-01 14:32
Noah, Happy, 2024-02-28 20:25, OK, 5, 0, 2024-02-28 20:43
Hannah, Sad, 2024-03-02 01:23, OK, 6, 1, 2024-03-02 01:31
Oliver, Sad, 2024-02-27 18:08, OK, 9, 9, 2024-02-27 18:27
Blathnaid, Sad, 2024-02-29 11:50, Sad, 10, 5, 2024-02-29 12:26
Harper, Sad, 2024-03-01 22:07, OK, 3, 1, 2024-03-01 22:34
Eli, Sad, 2024-02-27 20:49, Sad, 5, 5, 2024-02-27 21:15
Siobhan, Sad, 2024-02-27 16:07, Happy, 2, 0, 2024-02-27 16:26
Daire, OK, 2024-02-27 18:45, Happy, 2, 2, 2024-02-27 19:01
Ruairi, Sad, 2024-02-26 12:11, OK, 5, 1, 2024-02-26 12:35
